iter	Logloss
0	0.6681229949
1	0.6445780065
2	0.6233472489
3	0.603894789
4	0.5855877042
5	0.5683957169
6	0.5526387678
7	0.5382377709
8	0.5247796318
9	0.5123110717
10	0.5007916378
11	0.4903443384
12	0.4807687996
13	0.4718992194
14	0.4634639613
15	0.4557578251
16	0.4486427448
17	0.4420665981
18	0.4359074697
19	0.4301948089
20	0.4251476365
21	0.420434638
22	0.4158666826
23	0.4113597306
24	0.4074892231
25	0.4038629479
26	0.4004963048
27	0.397399719
28	0.3945344442
29	0.3918655381
30	0.389309416
31	0.386957641
32	0.3847591555
33	0.382694262
34	0.3809033322
35	0.3790800585
36	0.3774715783
37	0.3762334869
38	0.3747630833
39	0.3733634208
40	0.372151782
41	0.37099528
42	0.3693041246
43	0.3682690019
44	0.3674651127
45	0.3665560971
46	0.3654042983
47	0.3646748767
48	0.3640446407
49	0.363203232
50	0.3626488247
51	0.3608718914
52	0.3600605244
53	0.3594022564
54	0.3588815573
55	0.3582949788
56	0.357466911
57	0.3569451894
58	0.3566018526
59	0.3558389695
60	0.3554951074
61	0.3548045943
62	0.3545231916
63	0.3541205013
64	0.3538672153
65	0.3532878608
66	0.3529158855
67	0.35235051
68	0.3520574235
69	0.3517674853
70	0.3513658351
71	0.3510521908
72	0.3508190642
73	0.3505826375
74	0.350225022
75	0.3497733858
76	0.3495697332
77	0.3493345299
78	0.349133934
79	0.3489164539
80	0.3487922612
81	0.3483736105
82	0.3481900961
83	0.3480261311
84	0.3476752389
85	0.3475284964
86	0.3473987932
87	0.3472428172
88	0.3469509893
89	0.3468176371
90	0.3464674112
91	0.3463429647
92	0.3456797221
93	0.3455760448
94	0.3454295386
95	0.3451372841
96	0.3450577219
97	0.344912767
98	0.3448444691
99	0.3447546192
100	0.3447001981
101	0.3445723246
102	0.3443906365
103	0.3443371002
104	0.3442855454
105	0.3441998099
106	0.3441215839
107	0.3440571113
108	0.3439585638
109	0.3438910698
110	0.3435332956
111	0.3434649166
112	0.34341504
113	0.3433407803
114	0.3432852768
115	0.3432406145
116	0.3432039025
117	0.3431601921
118	0.342594799
119	0.3425565674
120	0.3424226511
121	0.3423858544
122	0.3423598778
123	0.3423063804
124	0.3422583864
125	0.3422328223
126	0.3420848917
127	0.3420385618
128	0.342006151
129	0.3419734475
130	0.3419333862
131	0.341875175
132	0.3418222523
133	0.3417812108
134	0.341755689
135	0.3417343767
136	0.3417098985
137	0.3416740396
138	0.3416328078
139	0.3415769552
140	0.3415455281
141	0.3415096727
142	0.3414885438
143	0.3414687582
144	0.3414472696
145	0.3413271842
146	0.3413101838
147	0.3412795393
148	0.3412262181
149	0.3411750652
150	0.3407217861
151	0.3403122879
152	0.3402861421
153	0.3402671038
154	0.3402490069
155	0.3402297677
156	0.3402087587
157	0.3401827574
158	0.3399907851
159	0.3399712215
160	0.3399453683
161	0.3399339665
162	0.3399214471
163	0.3399062095
164	0.339617047
165	0.3396011501
166	0.3394702023
167	0.3394349639
168	0.3393926497
169	0.3393588639
170	0.3390972645
171	0.3390873858
172	0.3390477404
173	0.3390375867
174	0.3390105418
175	0.338979439
176	0.3388949128
177	0.3388784306
178	0.338856378
179	0.3388386372
180	0.3388187987
181	0.3386919371
182	0.3384453426
183	0.3384303659
184	0.3384143068
185	0.3384018121
186	0.33818295
187	0.3381743475
188	0.338166013
189	0.3381539696
190	0.3381367858
191	0.3381244215
192	0.3381073964
193	0.3380911822
194	0.338076565
195	0.338065745
196	0.3380483638
197	0.338034829
198	0.3380235894
199	0.3380056899
200	0.3379928638
201	0.3379653853
202	0.3379596774
203	0.3379478913
204	0.3379245307
205	0.3379168555
206	0.3379039694
207	0.3377277318
208	0.3377165979
209	0.3377066804
210	0.3376243225
211	0.337614761
212	0.3374230461
213	0.3374123141
214	0.3373882625
215	0.3373812818
216	0.3373579459
217	0.3373429586
218	0.3373247524
219	0.3373074664
220	0.3372934874
221	0.3372702149
222	0.3372168162
223	0.3371993892
224	0.3371504785
225	0.3371395457
226	0.3371321066
227	0.3371045294
228	0.3370910087
229	0.3370822547
230	0.3370672568
231	0.3370611434
232	0.3370516313
233	0.3370421933
234	0.3370252704
235	0.3370182475
236	0.3369957013
237	0.3369871764
238	0.336978796
239	0.3369710785
240	0.3369583898
241	0.3369540604
242	0.3369463252
243	0.3369338446
244	0.3368903811
245	0.336868681
246	0.3368606003
247	0.336849604
248	0.3368355227
249	0.3367189136
250	0.3367033058
251	0.3366916149
252	0.3366768109
253	0.3366729856
254	0.3366624758
255	0.336645285
256	0.3366257743
257	0.3366042329
258	0.3365935997
259	0.3365816056
260	0.3365733487
261	0.3365552342
262	0.3365454295
263	0.3364091016
264	0.3363958842
265	0.3363833754
266	0.3363786757
267	0.3363603708
268	0.3363509187
269	0.3363443858
270	0.3363389176
271	0.3363296981
272	0.3363228232
273	0.3363119644
274	0.3363050295
275	0.3362937511
276	0.3362881525
277	0.336281609
278	0.3362634521
279	0.3362540141
280	0.3362436841
281	0.3361388011
282	0.3361316864
283	0.336126807
284	0.3361119219
285	0.3361044935
286	0.3360915052
287	0.3360828851
288	0.3360514826
289	0.3360429647
290	0.3360317216
291	0.336006087
292	0.3360011335
293	0.3359911702
294	0.3359814536
295	0.3359720826
296	0.3359644356
297	0.3359583398
298	0.3359444243
299	0.3359345526
300	0.3359136775
301	0.3359007809
302	0.335893289
303	0.3358865586
304	0.3358833327
305	0.3358759854
306	0.3358668682
307	0.3358255517
308	0.3358164803
309	0.3357399854
310	0.3357315381
311	0.3357254494
312	0.335720309
313	0.3357151088
314	0.3357017397
315	0.3356942478
316	0.3356861601
317	0.3356749734
318	0.3356667728
319	0.3356606207
320	0.3356478404
321	0.3356415578
322	0.3356317848
323	0.3356196779
324	0.3356135539
325	0.3356049726
326	0.335598556
327	0.3355937365
328	0.3355839812
329	0.3355753752
330	0.3355681971
331	0.335555304
332	0.3355477804
333	0.3355414449
334	0.3355369533
335	0.3355318129
336	0.3355258864
337	0.3355216028
338	0.3355163109
339	0.3355123093
340	0.3355041687
341	0.3354978544
342	0.3354902003
343	0.335485134
344	0.3354768876
345	0.3354698118
346	0.3354657996
347	0.335378192
348	0.3353657608
349	0.335359323
350	0.3353524023
351	0.335347544
352	0.3353408736
353	0.3353364454
354	0.3353308644
355	0.3352546586
356	0.3352479635
357	0.3352405315
358	0.3352376264
359	0.3352256288
360	0.3352146713
361	0.3352105781
362	0.3351988836
363	0.3351909934
364	0.3351858072
365	0.3351826624
366	0.335176831
367	0.3351645091
368	0.3351627392
369	0.3351585367
370	0.3351546233
371	0.335148732
372	0.3351452276
373	0.3351374466
374	0.3351308326
375	0.3351271871
376	0.3351178548
377	0.3351098693
378	0.3351021694
379	0.3350944202
380	0.335086886
381	0.3350812098
382	0.3350693038
383	0.3350629507
384	0.3350601796
385	0.3350534986
386	0.3350389766
387	0.3350335472
388	0.3350248108
389	0.3350176608
390	0.3350113218
391	0.3350045386
392	0.3349989329
393	0.3349945823
394	0.3349893115
395	0.3349846119
396	0.3349763549
397	0.3349664339
398	0.3349581911
399	0.3349515383
400	0.3349446246
401	0.3349402881
402	0.3349357929
403	0.3348730338
404	0.3348662505
405	0.3348606906
406	0.3348549968
407	0.3348455905
408	0.3348360502
409	0.3348255898
410	0.3348217116
411	0.3348138848
412	0.3348069217
413	0.3348020917
414	0.334793937
415	0.3347803846
416	0.3347745885
417	0.3347670261
418	0.3347570733
419	0.3347499234
420	0.3347431789
421	0.3347372524
422	0.3347321227
423	0.3347280189
424	0.3347235026
425	0.334719018
426	0.3346691096
427	0.3346606306
428	0.3346534736
429	0.3346441872
430	0.3346367517
431	0.3346295313
432	0.334624056
433	0.3346210381
434	0.3346137754
435	0.3346072812
436	0.3345983332
437	0.3345923856
438	0.3345870372
439	0.3345814069
440	0.3345724659
441	0.3345619702
442	0.3345556629
443	0.3345492534
444	0.3345425583
445	0.3345360148
446	0.3345293232
447	0.3345236646
448	0.3345149705
449	0.3345080074
450	0.3345021161
451	0.3344985764
452	0.3344924349
453	0.3344858103
454	0.3344820696
455	0.3344770139
456	0.3344696419
457	0.3344623298
458	0.3344550776
459	0.3344507552
460	0.3344450226
461	0.3344387294
462	0.334428484
463	0.3344235165
464	0.3344193351
465	0.3344135849
466	0.334407066
467	0.3344006212
468	0.33439412
469	0.3343861345
470	0.3343835044
471	0.3343756001
472	0.3343690213
473	0.3343633733
474	0.3343570907
475	0.3343492885
476	0.3343430412
477	0.334339364
478	0.3343341038
479	0.3343273981
480	0.3343072528
481	0.3343019151
482	0.3342958052
483	0.3342886905
484	0.334282207
485	0.3342764602
486	0.3342695606
487	0.3342646988
488	0.3342601825
489	0.3342553666
490	0.3342459462
491	0.3342415921
492	0.3342329191
493	0.3342286566
494	0.3342219404
495	0.3342145014
496	0.3342077357
497	0.3342011535
498	0.3341941269
499	0.3341883661
500	0.33418312
501	0.3341769643
502	0.334172032
503	0.3341672584
504	0.3341638597
505	0.3341586418
506	0.3341094703
